عنوان,قیمت,محله,تصویر,لینک,متراژ,تعداد اتاق,قیمت هر متر
فروش آپارتمان راه جدا,790000000,در توس,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/NzQdjHHmWXWZzwmxrNFJLw/bf937d8f-9b51-4024-af87-784725258f24.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%B1%D8%A7%D9%87-%D8%AC%D8%AF%D8%A7/AaypmRoG,,,
فروش آپارتمان دوبلکس۱۱۰ متری انتهای طبرسی شمالی ۹,2000000000,در رده,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/mnKpnMGfNcbAOf9GQrRqnQ/9cf0816f-8572-40c0-b842-9349dddb0624.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D9%88%D8%A8%D9%84%DA%A9%D8%B3%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A7%D9%86%D8%AA%D9%87%D8%A7%DB%8C-%D8%B7%D8%A8%D8%B1%D8%B3%DB%8C-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%DB%B9/Aar1CVcb,110.0,,18181818.181818184
خانه 70متر تک خواب راه جدا همکف پنجتن کمالی,630000000,در پنجتن,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/yBVhFabzPvAKlU6DTwa8pw/1dfac514-a83b-4b9f-85e8-377b5c842ba8.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%AE%D8%A7%D9%86%D9%87-70%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B1%D8%A7%D9%87-%D8%AC%D8%AF%D8%A7-%D9%87%D9%85%DA%A9%D9%81-%D9%BE%D9%86%D8%AC%D8%AA%D9%86-%DA%A9%D9%85%D8%A7%D9%84%DB%8C/AaEtuUx9,70.0,,9000000.0
۱۲۵متراقدسیه۵۳/فول امکانات/زیر فی منطقه,4500000000,آژانس گروه کارگزاری املاک ماتیا در الهیه,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/Zgc-KvI5PxRmAU5BdvygbQ/aa6bf1bb-2034-4d5e-a9c2-73b64318a34e.jpg.webp,https://divar.irhttps://divar.ir/v/%DB%B1%DB%B2%DB%B5%D9%85%D8%AA%D8%B1%D8%A7%D9%82%D8%AF%D8%B3%DB%8C%D9%87%DB%B5%DB%B3-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B2%DB%8C%D8%B1-%D9%81%DB%8C-%D9%85%D9%86%D8%B7%D9%82%D9%87/AavBJFFr,125.0,,36000000.0
فروش آپارتمان ۵۵ متری ۱ خوابه همکف در صادقیه 22پن,1200000000,یک ربع پیش در پنجتن,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/sAqELQQZtDql1CK7DzC6Yg/77ec138f-7a1b-4a0c-a9d7-d6a18f5a6614.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C%D9%87-22%D9%BE%D9%86/Aa0FAbaj,55.0,1.0,21818181.818181816
فروش 4 واحد آپارتمان 99متری 2خواب سندملکی/1ساختمان,3840000000,املاک دلیر در امیریه,https://s100.divarcdn.com/static/photo/afra/webp_thumbnail/FDWtv1fXC3S7N4Qyr6HbNw/355a16d0-5415-4a3a-a1b6-58463683512c.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-4-%D9%88%D8%A7%D8%AD%D8%AF-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-99%D9%85%D8%AA%D8%B1%DB%8C-2%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D9%86%D8%AF%D9%85%D9%84%DA%A9%DB%8C-1%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86/AasxhgAv,99.0,,38787878.78787879
فروش آپارتمان ۹۵ متری ۲ خوابه در شهید بهشتی,5500000000,یک ربع پیش در شهید بهشتی,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/uYXzVjs0ZXH8hyjnYOsJcA/e3a6ceec-625d-47d6-bcc1-1d8c91c96f33.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%B4%D9%87%DB%8C%D8%AF-%D8%A8%D9%87%D8%B4%D8%AA%DB%8C/Aa0Nw5Fj,95.0,2.0,57894736.84210526
فروش آپارتمان در هدایت، موسوی قوچانی(خیام),2000000000,یک ربع پیش در رستگار,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/laLxt-34dn8pED8vhSmxkA/56a23182-5a47-445f-b30c-54e2e9d13b67.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D9%87%D8%AF%D8%A7%DB%8C%D8%AA-%D9%85%D9%88%D8%B3%D9%88%DB%8C-%D9%82%D9%88%DA%86%D8%A7%D9%86%DB%8C-%D8%AE%DB%8C%D8%A7%D9%85/Aa0Nwezu,,,
فروش آپارتمان ۱۰۸ متری ۳ خوابه طبقه ۱ در نوده,870000000,نیم ساعت پیش در نوده,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/OEDgg68UrIwMbt32I-f6wg/b58aa5a6-8f6b-4a53-9b0d-4d73f6c2179f.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B8-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B1-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/Aa0NAIt8,108.0,3.0,8055555.555555556
آپارتمان 125متر همکف,1780000000,در انقلاب,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/9YKJqWOTFWLkuU3ySVt7sQ/fa9a76de-84e1-4188-afd2-3c2f0753023e.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-125%D9%85%D8%AA%D8%B1-%D9%87%D9%85%DA%A9%D9%81/AaRNdCgF,125.0,,14240000.0
فروش آپارتمان وکیل آباد87، متراژ 75,1700000000,نیم ساعت پیش در پارک کوهستان,https://s100.divarcdn.com/static/photo/afra/webp_thumbnail/HEhRTR-HLAHSVgtxMUw6Kg/01eda7d7-4544-4370-a2b0-4d129ec7fe24.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%88%DA%A9%DB%8C%D9%84-%D8%A2%D8%A8%D8%A7%D8%AF87-%D9%85%D8%AA%D8%B1%D8%A7%DA%98-75/Aa0JwYSE,,,
طبرسی شمالی ۱۲سوختانلو۱۲املاک مصیب قدرتی,1400000000,مشاور املاک سراسری مصیب قدرتی در طبرسی شمالی,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/qaJm1lxeeWbzTfUXsaKFyw/fa704df1-0578-44ef-962f-b82e72154ee8.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%B7%D8%A8%D8%B1%D8%B3%DB%8C-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%DB%B1%DB%B2%D8%B3%D9%88%D8%AE%D8%AA%D8%A7%D9%86%D9%84%D9%88%DB%B1%DB%B2%D8%A7%D9%85%D9%84%D8%A7%DA%A9-%D9%85%D8%B5%DB%8C%D8%A8-%D9%82%D8%AF%D8%B1%D8%AA%DB%8C/AavpYTic,,,
۱۰۵ متری خوشکل تکمیل دوخواب توس۳۳کشف شقایق۲,1220000000,املاک جردن نسترن ۱۲ نبش شهیدی۲ در کشف,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/9LmWoPnUGOJ15e8_TwuBDg/6c9a2e2f-b8b3-439f-8804-10c603a9d6b1.jpg.webp,https://divar.irhttps://divar.ir/v/%DB%B1%DB%B0%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AE%D9%88%D8%B4%DA%A9%D9%84-%D8%AA%DA%A9%D9%85%DB%8C%D9%84-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%D9%88%D8%B3%DB%B3%DB%B3%DA%A9%D8%B4%D9%81-%D8%B4%D9%82%D8%A7%DB%8C%D9%82%DB%B2/Aa0BgMbt,105.0,,11619047.61904762
فروش منزل,1400000000,نیم ساعت پیش در یاس,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/p_T9BZasPx42x0p5sxENOQ/ed8378f0-a5c4-4290-b3a6-e1bfe485be82.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%85%D9%86%D8%B2%D9%84/Aa0FAArJ,,,
آپارتمان۹۰متر/فول/در امام رضا/قطعه دوم از خیابان,4700000000,آژانس املاک خانی در حرم مطهر رضوی,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/ATKXi9DP0fBYGbz0W0K4YA/833b5969-6974-4a20-aca9-7a8f4056f2ae.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%AF%D8%B1-%D8%A7%D9%85%D8%A7%D9%85-%D8%B1%D8%B6%D8%A7-%D9%82%D8%B7%D8%B9%D9%87-%D8%AF%D9%88%D9%85-%D8%A7%D8%B2-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86/Aaz1_u4d,90.0,,52222222.222222224
فروش آپارتمان ۹۰ متری ۲ خوابه همکف در نوده,730000000,در نوده,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/GnNndaOzASjU-IVx3q9f7Q/1ad0e253-944a-41b8-8e86-f501f9d0290a.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/Aayd3iz9,90.0,2.0,8111111.111111111
آپارتمان ۱۱۰ متری کشف,1370000000,نیم ساعت پیش در کشف,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/bx41l6eq37qtlD6zqgR6MA/8420214a-3cc5-4b0a-915d-965770b25626.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DA%A9%D8%B4%D9%81/Aa0FwLS4,110.0,,12454545.454545455
فروش آپارتمان ۱۱۰ متری ۲ خوابه صفر طبقه ۲ در نوده,820000000,در نوده,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/UkqBzXJiR0_yKFVah1wpZA/06dd187f-ab13-40e4-9b9e-0aa91272d4a6.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B5%D9%81%D8%B1-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/AayhZFqm,110.0,2.0,7454545.454545454
۱۵۰متری تک‌واحدی مدرن/ ابتدای منطقه نزدیک به میثاق,6250000000,املاک اورست املاک ممتاز در الهیه,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/sHLUNJHLF-WuCYFqaHfL-w/96af6f2c-ff9b-4dfd-bb21-0f814f61d85b.jpg.webp,https://divar.irhttps://divar.ir/v/%DB%B1%DB%B5%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%85%D8%AF%D8%B1%D9%86-%D8%A7%D8%A8%D8%AA%D8%AF%D8%A7%DB%8C-%D9%85%D9%86%D8%B7%D9%82%D9%87-%D9%86%D8%B2%D8%AF%DB%8C%DA%A9-%D8%A8%D9%87-%D9%85%DB%8C%D8%AB%D8%A7%D9%82/AaypN7Kf,150.0,,41666666.666666664
155متر/تک واحدی حاشیه سجادیه بهترین لوکیشن,5800000000,املاک فرهنگ حسین آباد جلدک صفی آباد سپاد تقی اباد در الهیه,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/-WOJEoOB8K-n31NeBbFG4g/e8a10f6d-6dc5-45e0-aa12-d56b7d50db69.jpg.webp,https://divar.irhttps://divar.ir/v/155%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%AD%D8%A7%D8%B4%DB%8C%D9%87-%D8%B3%D8%AC%D8%A7%D8%AF%DB%8C%D9%87-%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/Aau19zY0,155.0,,37419354.838709675
آپارتمان,1000000000,نیم ساعت پیش در یوسفیه,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/rp9MFP53Wbu9UUTq_k3ZHw/553a15e5-12f4-4a49-9312-e7e08b97ac09.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86/Aaz9_lvP,,,
۱۱۵متری خاص باقیمت منطقی مگه هست،آره هنوز پیدامیشه,4600000000,آژانس مسکن رویال VIP در الهیه,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/BySDrWb4ZKmnHzjiDZl74Q/4a675f0c-4434-49ec-ab0a-254daeb519e0.jpg.webp,https://divar.irhttps://divar.ir/v/%DB%B1%DB%B1%DB%B5%D9%85%D8%AA%D8%B1%DB%8C-%D8%AE%D8%A7%D8%B5-%D8%A8%D8%A7%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D9%86%D8%B7%D9%82%DB%8C-%D9%85%DA%AF%D9%87-%D9%87%D8%B3%D8%AA-%D8%A2%D8%B1%D9%87-%D9%87%D9%86%D9%88%D8%B2-%D9%BE%DB%8C%D8%AF%D8%A7%D9%85%DB%8C%D8%B4%D9%87/Aai1mfC1,115.0,,40000000.0
فروش آپارتمان 100متری 90متر بنا 2 خوابه رباط طرق 9,1050000000,نیم ساعت پیش در رباط طرق,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/PBZAb6smlHfZDi-Nut1VRQ/c6220bf8-0087-4ba5-ba0f-b3476af5741f.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-100%D9%85%D8%AA%D8%B1%DB%8C-90%D9%85%D8%AA%D8%B1-%D8%A8%D9%86%D8%A7-2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B1%D8%A8%D8%A7%D8%B7-%D8%B7%D8%B1%D9%82-9/Aaz5vcf_,100.0,2.0,10500000.0
فروش آپارتمان ۷۵ متری ۲ خوابه طبقه ۳ در رستگار,1500000000,نیم ساعت پیش در رستگار,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/1GwOy-jC52OGmRJGIPjfYg/ef1348e3-f612-4745-b436-16d206633504.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B3-%D8%AF%D8%B1-%D8%B1%D8%B3%D8%AA%DA%AF%D8%A7%D8%B1/AazxfXNy,75.0,2.0,20000000.0
مجتمع زاگرس فروش فوری,3320000000,نیم ساعت پیش در چهارچشمه,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/y_wSnxJ-NEOc3lQucsQu8A/4ec2727b-3ba8-4f34-81de-a84ba1466254.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%85%D8%AC%D8%AA%D9%85%D8%B9-%D8%B2%D8%A7%DA%AF%D8%B1%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D9%81%D9%88%D8%B1%DB%8C/Aaz1vy65,,,
آپارتمان در جلال,14450000000,مسکن بامک بین امامت ۳۶و۳۸ در آزادشهر,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/zty2dYqc8lFCzzBg1WsSKg/56b03ea4-69f9-46b2-a300-a496ee1a012a.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D8%AC%D9%84%D8%A7%D9%84/AauZR49E,,,
فروش واحد شخصی ساز ۸۴ متری مجیدیه ۱۷.۹,3370000000,در جاهد شهر,https://s100.divarcdn.com/static/photo/afra/webp_thumbnail/EsKo_u3ZMEHGcmuOwD9R-w/8ef3d034-3db3-4626-a533-37c57766b419.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B4%D8%AE%D8%B5%DB%8C-%D8%B3%D8%A7%D8%B2-%DB%B8%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C-%D9%85%D8%AC%DB%8C%D8%AF%DB%8C%D9%87-%DB%B1%DB%B7-%DB%B9/Aakx_qQb,84.0,,40119047.61904762
فروش آپارتمان ۹۵ متری معاوضه در حضرت حجت,1080000000,در حضرت حجت,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/xXpRiOPyVTlLWtg_Z9qwVA/96a3e72e-ca16-4d63-88b3-550746bde133.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%D9%85%D8%B9%D8%A7%D9%88%D8%B6%D9%87-%D8%AF%D8%B1-%D8%AD%D8%B6%D8%B1%D8%AA-%D8%AD%D8%AC%D8%AA/Aaq1mafB,95.0,,11368421.05263158
فروش آپارتمان طبقه دوم بازسازی شده,4600000000,دقایقی پیش در بهاران,https://s100.divarcdn.com/static/photo/afra/webp_thumbnail/79427jjwUpK9SyrXtw1H6A/fa62a2a1-a215-428a-87fa-77802be39aaf.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D9%88%D9%85-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87/Aa0lQnDN,,,
آپارتمان45متر//سند آماده,1770000000,املاک دلیر در الهیه,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/oJAt1SK96VlnW0LbRSOLpg/97380716-e375-4d86-9a8c-9997cf2ae832.jpg.webp,https://divar.irhttps://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%8645%D9%85%D8%AA%D8%B1-%D8%B3%D9%86%D8%AF-%D8%A2%D9%85%D8%A7%D8%AF%D9%87/Aa0lASfm,45.0,,39333333.333333336
